time,event
2021-08-23 15:24:16.731, sent intermediate mtsq
2021-08-23 15:24:16.932, received ack
2021-08-23 15:24:16.978, sent data-link mtsq
2021-08-23 15:24:17.137, received ack
2021-08-23 15:24:17.181, sent max payload request
2021-08-23 15:24:17.343, received ack
2021-08-23 15:24:17.347, received max payload response args ==> reserved=default; max_payload_length=4096
2021-08-23 15:24:17.393, sent ack
2021-08-23 15:24:17.435, sent basic mtsq
2021-08-23 15:24:17.652, received ack
2021-08-23 15:24:18.949, sent commodity read request
2021-08-23 15:24:19.257, waiting for message timeout -- Timout!
2021-08-23 15:48:31.978, received intermediate mtsq
2021-08-23 15:48:32.025, sent ack
2021-08-23 15:48:32.184, received data-link mtsq
2021-08-23 15:48:32.229, sent ack
2021-08-23 15:48:32.388, received max payload request
2021-08-23 15:48:32.434, sent ack
2021-08-23 15:48:32.477, sent max payload response
2021-08-23 15:48:32.592, received ack
2021-08-23 15:48:32.696, received basic mtsq
2021-08-23 15:48:32.742, sent ack
2021-08-23 15:48:34.578, sent commodity read request
2021-08-23 15:48:34.709, received ack
2021-08-23 15:48:34.816, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:48:34.861, sent ack
2021-08-23 15:48:37.730, sent commodity read request
2021-08-23 15:48:37.840, received ack
2021-08-23 15:48:37.948, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:48:37.994, sent ack
2021-08-23 15:48:40.146, sent loadup
2021-08-23 15:48:40.262, received ack
2021-08-23 15:48:40.366, received app ack args ==> reserved=default; last_opcode=0x17
2021-08-23 15:48:40.415, sent ack
2021-08-23 15:48:43.018, sent commodity read request
2021-08-23 15:48:43.183, received ack
2021-08-23 15:48:43.290, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:48:43.335, sent ack
2021-08-23 15:48:45.714, sent commodity read request
2021-08-23 15:48:45.737, waiting for message timeout -- Timout!
2021-08-23 15:48:45.902, received ack
2021-08-23 15:48:46.008, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:48:46.055, sent ack
2021-08-23 15:48:47.545, sent commodity read request
2021-08-23 15:48:47.658, waiting for message timeout -- Timout!
2021-08-23 15:48:47.718, received ack
2021-08-23 15:48:47.825, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:48:47.871, sent ack
2021-08-23 15:48:51.874, waiting for message timeout -- Timout!
2021-08-23 15:48:51.882, sent commodity read request
2021-08-23 15:48:52.043, received ack
2021-08-23 15:48:52.151, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:48:52.196, sent ack
2021-08-23 15:48:55.400, waiting for message timeout -- Timout!
2021-08-23 15:48:55.434, sent commodity read request
2021-08-23 15:48:55.570, received ack
2021-08-23 15:48:55.678, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:48:55.725, sent ack
2021-08-23 15:48:57.243, sent commodity read request
