 , , Cumulative Amount,  Time
Commodity Code: ,0, 0, 0.545201365740741
Commodity Code: ,0, 0, 0.545316388888889
Commodity Code: ,0, 0, 0.545375706018518
Commodity Code: ,0, 0, 0.545465405092593
Commodity Code: ,0, 0, 0.545543599537037
Commodity Code: ,0, 0, 0.545586898148148
Commodity Code: ,0, 0, 0.545700914351852
Commodity Code: ,0, 12, 0.545743935185185
Commodity Code: ,0, 12, 0.5457965625
Commodity Code: ,0, 12, 0.545844594907407
Commodity Code: ,0, 12, 0.545991655092593
Commodity Code: ,0, 12, 0.546062627314815
Commodity Code: ,0, 48, 0.546116273148148
Commodity Code: ,0, 48, 0.546227083333333
Commodity Code: ,0, 48, 0.546271585648148
Commodity Code: ,0, 48, 0.546320405092593
Commodity Code: ,0, 48, 0.546362523148148
Commodity Code: ,0, 48, 0.546399953703704
Commodity Code: ,0, 120, 0.546434849537037
Commodity Code: ,0, 120, 0.546485011574074
Commodity Code: ,0, 120, 0.546525925925926
Commodity Code: ,0, 120, 0.546571435185185
Commodity Code: ,0, 120, 0.546607650462963
Commodity Code: ,0, 120, 0.546646168981481
Commodity Code: ,0, 120, 0.546683483796296
Commodity Code: ,0, 120, 0.546721886574074
Commodity Code: ,0, 120, 0.546754664351852
Commodity Code: ,0, 240, 0.546791990740741
Commodity Code: ,0, 240, 0.546838657407407
Commodity Code: ,0, 240, 0.54687943287037
Commodity Code: ,0, 240, 0.546942430555556
Commodity Code: ,0, 240, 0.547001909722222
Commodity Code: ,0, 240, 0.547046481481481
Commodity Code: ,0, 240, 0.547086122685185
Commodity Code: ,0, 420, 0.547128287037037
Commodity Code: ,0, 420, 0.547176006944444
Commodity Code: ,0, 420, 0.547218020833333
Commodity Code: ,0, 420, 0.547254537037037
Commodity Code: ,0, 420, 0.547292037037037
Commodity Code: ,0, 420, 0.547320775462963
Commodity Code: ,0, 420, 0.547357118055556
Commodity Code: ,0, 420, 0.547412164351852
Commodity Code: ,0, 659, 0.547457488425926
Commodity Code: ,0, 659, 0.547502881944444
Commodity Code: ,0, 659, 0.547525347222222
Commodity Code: ,0, 659, 0.547534907407407
Commodity Code: ,0, 659, 0.547544131944444
Commodity Code: ,0, 659, 0.547565300925926
Commodity Code: ,0, 659, 0.547610752314815
Commodity Code: ,0, 659, 0.547723101851852
Commodity Code: ,0, 659, 0.547780740740741
Commodity Code: ,0, 929, 0.547839467592593
Commodity Code: ,0, 929, 0.547896446759259
Commodity Code: ,0, 929, 0.547955115740741
Commodity Code: ,0, 929, 0.548011782407407
Commodity Code: ,0, 929, 0.5480703125
Commodity Code: ,0, 929, 0.548128738425926
Commodity Code: ,0, 1000, 0.548185717592593
