 , , Cumulative Amount,  Time
Commodity Code: ,0, 0, 0.553966990740741
Commodity Code: ,0, 0, 0.554992083333333
Commodity Code: ,0, 0, 0.55505056712963
Commodity Code: ,0, 0, 0.555107384259259
Commodity Code: ,0, 0, 0.555165740740741
Commodity Code: ,0, 0, 0.55522306712963
Commodity Code: ,0, 0, 0.555281342592593
Commodity Code: ,0, 0, 0.555339560185185
Commodity Code: ,0, 0, 0.555396805555556
Commodity Code: ,0, 0, 0.555455127314815
Commodity Code: ,0, 0, 0.555512453703704
Commodity Code: ,0, 12, 0.555570729166667
Commodity Code: ,0, 12, 0.555628993055556
Commodity Code: ,0, 12, 0.555686423611111
Commodity Code: ,0, 12, 0.555744641203704
Commodity Code: ,0, 12, 0.55580287037037
Commodity Code: ,0, 12, 0.555860092592593
Commodity Code: ,0, 48, 0.555918333333333
Commodity Code: ,0, 48, 0.555975625
Commodity Code: ,0, 48, 0.556033888888889
Commodity Code: ,0, 48, 0.556091296296296
Commodity Code: ,0, 48, 0.556149340277778
Commodity Code: ,0, 48, 0.556207800925926
Commodity Code: ,0, 120, 0.556265115740741
Commodity Code: ,0, 120, 0.556323321759259
Commodity Code: ,0, 120, 0.556381516203704
Commodity Code: ,0, 120, 0.556438726851852
Commodity Code: ,0, 120, 0.55649712962963
Commodity Code: ,0, 120, 0.556554259259259
Commodity Code: ,0, 240, 0.556612708333333
Commodity Code: ,0, 240, 0.556670891203704
Commodity Code: ,0, 240, 0.556728090277778
Commodity Code: ,0, 240, 0.556786493055556
Commodity Code: ,0, 240, 0.556843761574074
Commodity Code: ,0, 240, 0.556902118055556
Commodity Code: ,0, 420, 0.556960381944444
Commodity Code: ,0, 420, 0.557017523148148
Commodity Code: ,0, 420, 0.5570759375
Commodity Code: ,0, 420, 0.557133125
Commodity Code: ,0, 420, 0.557191481481481
Commodity Code: ,0, 420, 0.557248888888889
Commodity Code: ,0, 660, 0.557306956018519
Commodity Code: ,0, 660, 0.557365289351852
Commodity Code: ,0, 660, 0.557422592592593
Commodity Code: ,0, 660, 0.557480798611111
Commodity Code: ,0, 660, 0.55753806712963
Commodity Code: ,0, 660, 0.557596354166667
Commodity Code: ,0, 930, 0.55765474537037
Commodity Code: ,0, 930, 0.557711944444445
Commodity Code: ,0, 930, 0.557770520833333
Commodity Code: ,0, 930, 0.557827662037037
Commodity Code: ,0, 930, 0.557885763888889
Commodity Code: ,0, 930, 0.557943194444444
Commodity Code: ,0, 1000, 0.558001365740741
Commodity Code: ,0, 1000, 0.558059699074074
Commodity Code: ,0, 1000, 0.558116967592593
Commodity Code: ,0, 1000, 0.558175219907407
Commodity Code: ,0, 1000, 0.558233622685185
Commodity Code: ,0, 1000, 0.558290914351852
Commodity Code: ,0, 1000, 0.558349340277778
Commodity Code: ,0, 1000, 0.558406412037037


Commodity Code: ,7, 1000, 0.553966990740741
Commodity Code: ,7, 1000, 0.554992083333333
Commodity Code: ,7, 1000, 0.55505056712963
Commodity Code: ,7, 1000, 0.555107384259259
Commodity Code: ,7, 1000, 0.555165740740741
Commodity Code: ,7, 1000, 0.55522306712963
Commodity Code: ,7, 1000, 0.555281342592593
Commodity Code: ,7, 1000, 0.555339571759259
Commodity Code: ,7, 1000, 0.555396805555556
Commodity Code: ,7, 1000, 0.555455127314815
Commodity Code: ,7, 1000, 0.555512453703704
Commodity Code: ,7, 988, 0.555570729166667
Commodity Code: ,7, 988, 0.55562900462963
Commodity Code: ,7, 988, 0.555686423611111
Commodity Code: ,7, 988, 0.555744641203704
Commodity Code: ,7, 988, 0.55580287037037
Commodity Code: ,7, 988, 0.555860104166667
Commodity Code: ,7, 952, 0.555918333333333
Commodity Code: ,7, 952, 0.555975625
Commodity Code: ,7, 952, 0.556033900462963
Commodity Code: ,7, 952, 0.556091296296296
Commodity Code: ,7, 952, 0.556149340277778
Commodity Code: ,7, 952, 0.556207800925926
Commodity Code: ,7, 880, 0.556265115740741
Commodity Code: ,7, 880, 0.556323321759259
Commodity Code: ,7, 880, 0.556381527777778
Commodity Code: ,7, 880, 0.556438738425926
Commodity Code: ,7, 880, 0.55649712962963
Commodity Code: ,7, 880, 0.556554259259259
Commodity Code: ,7, 760, 0.556612708333333
Commodity Code: ,7, 760, 0.556670891203704
Commodity Code: ,7, 760, 0.556728090277778
Commodity Code: ,7, 760, 0.556786493055556
Commodity Code: ,7, 760, 0.556843761574074
Commodity Code: ,7, 760, 0.556902118055556
Commodity Code: ,7, 580, 0.556960393518519
Commodity Code: ,7, 580, 0.557017534722222
Commodity Code: ,7, 580, 0.5570759375
Commodity Code: ,7, 580, 0.557133125
Commodity Code: ,7, 580, 0.557191481481481
Commodity Code: ,7, 580, 0.557248888888889
Commodity Code: ,7, 339, 0.557306956018519
Commodity Code: ,7, 339, 0.557365289351852
Commodity Code: ,7, 339, 0.557422604166667
