time,power,soc,current,voltage
2021-08-23 16:51:04,0.0,0.0,0.0,0.0
2021-08-23 16:51:08,0.0,0.0,0.0,0.0
2021-08-23 16:51:12,0.0,0.0,0.0,0.0
2021-08-23 16:51:16,288.0,0.12,6.0,48.0
2021-08-23 16:51:20,0.0,0.12,0.0,0.0
2021-08-23 16:51:24,0.0,0.12,0.0,0.0
2021-08-23 16:51:28,288.0,0.372,6.0,48.0
2021-08-23 16:51:32,1152.0,0.9,12.0,96.0
2021-08-23 16:51:36,3.6,0.901,0.015,240.0
2021-08-23 16:51:40,3.6,0.901,0.015,240.0
2021-08-23 16:51:44,3.6,0.902,0.015,240.0
2021-08-23 16:51:48,3.6,0.903,0.015,240.0
2021-08-23 16:51:52,3.6,0.904,0.015,240.0
2021-08-23 16:51:56,3.6,0.905,0.015,240.0
2021-08-23 16:52:00,3.6,0.905,0.015,240.0
2021-08-23 16:52:04,3.6,0.906,0.015,240.0
2021-08-23 16:52:07,3.6,0.907,0.015,240.0
2021-08-23 16:52:11,3.6,0.908,0.015,240.0
2021-08-23 16:52:15,3.6,0.909,0.015,240.0
2021-08-23 16:52:19,3.6,0.91,0.015,240.0
2021-08-23 16:52:23,3.6,0.911,0.015,240.0
2021-08-23 16:52:27,3.6,0.912,0.015,240.0
2021-08-23 16:52:31,3.6,0.914,0.015,240.0
2021-08-23 16:52:35,3.6,0.915,0.015,240.0
2021-08-23 16:52:39,3.6,0.916,0.015,240.0
2021-08-23 16:52:43,3.6,0.917,0.015,240.0
2021-08-23 16:52:47,3.6,0.918,0.015,240.0
2021-08-23 16:52:51,3.6,0.92,0.015,240.0
2021-08-23 16:52:55,3.6,0.921,0.015,240.0
2021-08-23 16:52:59,3.6,0.922,0.015,240.0
2021-08-23 16:53:03,3.6,0.923,0.015,240.0
2021-08-23 16:53:07,3.6,0.925,0.015,240.0
2021-08-23 16:53:11,3.6,0.926,0.015,240.0
2021-08-23 16:53:15,3.6,0.928,0.015,240.0
2021-08-23 16:53:19,3.6,0.929,0.015,240.0
2021-08-23 16:53:23,3.6,0.931,0.015,240.0
2021-08-23 16:53:27,3.6,0.932,0.015,240.0
2021-08-23 16:53:31,3.6,0.934,0.015,240.0
2021-08-23 16:53:35,3.6,0.935,0.015,240.0
2021-08-23 16:53:39,3.6,0.937,0.015,240.0
2021-08-23 16:53:43,3.6,0.939,0.015,240.0
2021-08-23 16:53:47,3.6,0.94,0.015,240.0
2021-08-23 16:53:51,0.0,0.94,0.0,0.0
2021-08-23 16:53:55,0.0,0.94,0.0,0.0
2021-08-23 16:53:59,3.6,0.943,0.015,240.0
2021-08-23 16:54:03,3.6,0.946,0.015,240.0
2021-08-23 16:54:07,3.6,0.949,0.015,240.0
2021-08-23 16:54:11,3.6,0.952,0.015,240.0
2021-08-23 16:54:14,3.6,0.956,0.015,240.0
2021-08-23 16:54:18,3.6,0.959,0.015,240.0
2021-08-23 16:54:22,3.6,0.962,0.015,240.0
2021-08-23 16:54:26,3.6,0.965,0.015,240.0
2021-08-23 16:54:30,3.6,0.969,0.015,240.0
2021-08-23 16:54:34,3.6,0.972,0.015,240.0
2021-08-23 16:54:38,3.6,0.975,0.015,240.0
2021-08-23 16:54:42,3.6,0.979,0.015,240.0
2021-08-23 16:54:46,3.6,0.982,0.015,240.0
2021-08-23 16:54:50,3.6,0.986,0.015,240.0
2021-08-23 16:54:54,3.6,0.989,0.015,240.0
2021-08-23 16:54:58,3.6,0.993,0.015,240.0
2021-08-23 16:55:02,3.6,0.996,0.015,240.0
2021-08-23 16:55:06,3.6,1.0,0.015,240.0
2021-08-23 16:55:10,3.6,1.0,0.015,240.0
2021-08-23 16:55:14,0.0,1.0,0.0,0.0
