
671903130.689, 44302.656597222222222222222222,Simulator v18.12.24 is starting as SGD,UCM Sent:,SGD Sent:
671903130.692,44302.656605231481481481481482,Sent,,/0x8/0x1/0x0/0x2/0x13/0x2/0xD1/0x63,Sent Operational State Query response
671903130.898,44302.656607615740740740740741,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903131.024,44302.656609074074074074074074,Sent,,/0x8/0x1/0x0/0x0/0x7E/0xCD,Sent Message Supported Query
671903131.228,44302.656611435185185185185185,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903131.529,44302.656614918981481481481482,Sent,,/0x8/0x2/0x0/0x0/0x7A/0xD0,Sent Message Supported Query
671903131.733,44302.656617280092592592592593,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903131.960,44302.656619907407407407407407,Sent,,/0x8/0x3/0x0/0x0/0x76/0xD3,Sent Message Supported Query
671903132.162,44302.656622245370370370370370,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903132.386,44302.656624837962962962962963,Sent,,/0x8/0x4/0x0/0x0/0x72/0xD6,Sent Message Supported Query
671903132.589,44302.6566271875,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903132.812,44302.656629768518518518518518,Sent,,/0x9/0x1/0x0/0x0/0x79/0xD1,Sent Message Supported Query
671903133.019,44302.656632164351851851851852,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903133.265,44302.656635011574074074074074,Sent,,/0x9/0x2/0x0/0x0/0x75/0xD4,Sent Message Supported Query
671903133.469,44302.656637372685185185185185,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903133.713,44302.656640196759259259259259,Sent,,/0x9/0x3/0x0/0x0/0x71/0xD7,Sent Message Supported Query
671903133.915,44302.656642534722222222222222,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903134.164,44302.656645416666666666666667,Sent,,/0x9/0x4/0x0/0x0/0x6D/0xDA,Sent Message Supported Query
671903134.367,44302.656647766203703703703704,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903134.591,44302.656650358796296296296296,Sent,,/0x9/0x5/0x0/0x0/0x69/0xDD,Sent Message Supported Query
671903134.796,44302.656652731481481481481482,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903135.049,44302.656655659722222222222222,Sent,,/0x9/0x6/0x0/0x0/0x65/0xE0,Sent Message Supported Query
671903135.252,44302.656658009259259259259259,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903135.495,44302.656660821759259259259259,Sent,,/0x9/0x7/0x0/0x0/0x61/0xE3,Sent Message Supported Query
671903135.699,44302.656663182870370370370370,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903135.951,44302.656666099537037037037037,Sent,,/0x9/0x8/0x0/0x0/0x5D/0xE6,Sent Message Supported Query
671903136.155,44302.656668460648148148148148,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903136.375,44302.656671006944444444444444,Sent,,/0x9/0x9/0x0/0x0/0x59/0xE9,Sent Message Supported Query
671903136.579,44302.656673368055555555555556,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903136.829,44302.656676261574074074074074,Sent,,/0x9/0xA/0x0/0x0/0x55/0xEC,Sent Message Supported Query
671903137.035,44302.656678645833333333333333,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903137.266,44302.656681319444444444444444,Sent,,/0x9/0xB/0x0/0x0/0x51/0xEF,Sent Message Supported Query
671903137.469,44302.656683668981481481481482,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903137.724,44302.656686620370370370370370,Sent,,/0x9/0xC/0x0/0x0/0x4D/0xF2,Sent Message Supported Query
671903137.929,44302.656688993055555555555556,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903138.053,44302.656690428240740740740741,Sent,,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,Sent Device Info Query
671903138.165,44302.656691724537037037037037,Sent,,/0x8/0x3/0x0/0x2/0x18/0x0/0xBA/0x75,Sent Max Payload Query
671903138.409,44302.656694548611111111111111,Recv,,,Error - timed out waiting for Link Ack/Nak-1
671903143.639,44302.656755081018518518518518,Recv,/0x8/0x3/0x0/0x0/0x76/0xD3,,Received message type supported query
671903143.683,44302.656755590277777777777778,Sent,,/0x6/0x0,Sent Link Ack
671903143.788,44302.656756805555555555555556,Recv,/0x8/0x3/0x0/0x2/0x18/0x0/0xBA/0x75,,Query Max Payload Size received
671903143.835,44302.656757349537037037037037,Sent,,/0x6/0x0,Sent Link Ack
671903143.941,44302.656758576388888888888889,Sent,,/0x8/0x3/0x0/0x2/0x19/0xD/0x9D/0x84,Sent Max Payload
671903143.991,44302.656759155092592592592593,Recv,/0x6/0x0,,Link Ack Received
671903144.088,44302.656760277777777777777778,Recv,/0x8/0x2/0x0/0x0/0x7A/0xD0,,Received message type supported query
671903144.123,44302.656760682870370370370370,Sent,,/0x6/0x0,Sent Link Ack
