time,Elect. Consumed - Cumulative (Wh),Elect. Consumed - Inst. Rate (W),EnergyTake - Cumulative (Wh),EnergyTake - Inst. Rate (W)
2021-08-18 19:32:48.769,0.0,0.0,1500.0,0.0
2021-08-18 19:32:58.746,0.0,0.0,1500.0,0.0
2021-08-18 19:33:08.715,0.0,0.0,1500.0,0.0
2021-08-18 19:33:18.787,0.0,0.0,1500.0,0.0
2021-08-18 19:33:28.750,0.0,0.0,1500.0,0.0
2021-08-18 19:33:38.711,0.0,0.0,1500.0,0.0
2021-08-18 19:33:48.782,0.0,0.0,1500.0,0.0
2021-08-18 19:33:58.755,0.0,0.0,1500.0,0.0
2021-08-18 19:34:08.726,0.0,0.0,1500.0,0.0
2021-08-18 19:34:18.702,0.0,0.0,1500.0,0.0
2021-08-18 19:34:28.771,0.0,0.0,1500.0,0.0
2021-08-18 19:34:38.743,12.0,288.0,1488.0,0.0
2021-08-18 19:34:48.717,12.0,288.0,1488.0,0.0
2021-08-18 19:34:58.777,12.0,288.0,1488.0,0.0
2021-08-18 19:35:08.740,12.0,288.0,1488.0,0.0
2021-08-18 19:35:18.707,12.0,288.0,1488.0,0.0
2021-08-18 19:35:28.771,12.0,288.0,1488.0,0.0
2021-08-18 19:35:38.736,48.0,1152.0,1452.0,0.0
2021-08-18 19:35:48.689,48.0,1152.0,1452.0,0.0
2021-08-18 19:35:58.776,48.0,1152.0,1452.0,0.0
2021-08-18 19:36:08.747,48.0,1152.0,1452.0,0.0
2021-08-18 19:36:18.715,48.0,1152.0,1452.0,0.0
2021-08-18 19:36:28.784,48.0,1152.0,1452.0,0.0
2021-08-18 19:36:38.755,120.0,2592.0,1380.0,0.0
2021-08-18 19:36:48.716,120.0,2592.0,1380.0,0.0
2021-08-18 19:36:58.699,120.0,2592.0,1380.0,0.0
2021-08-18 19:37:08.701,120.0,2592.0,1380.0,0.0
2021-08-18 19:37:18.697,120.0,2592.0,1380.0,0.0
2021-08-18 19:37:28.694,120.0,2592.0,1380.0,0.0
2021-08-18 19:37:38.693,240.0,4608.0,1260.0,0.0
2021-08-18 19:37:48.690,240.0,4608.0,1260.0,0.0
2021-08-18 19:37:58.690,240.0,4608.0,1260.0,0.0
2021-08-18 19:38:08.691,240.0,4608.0,1260.0,0.0
2021-08-18 19:38:18.689,240.0,4608.0,1260.0,0.0
2021-08-18 19:38:28.686,240.0,4608.0,1260.0,0.0
2021-08-18 19:38:38.677,240.0,4608.0,1260.0,0.0
2021-08-18 19:38:48.771,420.0,7200.0,1080.0,0.0
2021-08-18 19:38:58.768,420.0,7200.0,1080.0,0.0
2021-08-18 19:39:08.760,420.0,7200.0,1080.0,0.0
2021-08-18 19:39:18.755,420.0,7200.0,1080.0,0.0
2021-08-18 19:39:28.748,420.0,7200.0,1080.0,0.0
2021-08-18 19:39:38.746,420.0,7200.0,1080.0,0.0
2021-08-18 19:39:48.743,660.0,7200.0,840.0,0.0
2021-08-18 19:39:58.739,660.0,7200.0,840.0,0.0
2021-08-18 19:40:08.733,660.0,7200.0,840.0,0.0
2021-08-18 19:40:18.733,660.0,7200.0,840.0,0.0
2021-08-18 19:40:28.729,660.0,7200.0,840.0,0.0
2021-08-18 19:40:38.728,660.0,7200.0,840.0,0.0
2021-08-18 19:40:48.726,930.0,7200.0,570.0,0.0
2021-08-18 19:40:58.722,930.0,7200.0,570.0,0.0
2021-08-18 19:41:08.722,930.0,7200.0,570.0,0.0
2021-08-18 19:41:18.720,930.0,7200.0,570.0,0.0
2021-08-18 19:41:28.716,930.0,7200.0,570.0,0.0
2021-08-18 19:41:38.714,930.0,7200.0,570.0,0.0
2021-08-18 19:41:48.711,1230.0,7200.0,270.0,0.0
2021-08-18 19:41:58.708,1230.0,7200.0,270.0,0.0
2021-08-18 19:42:08.704,1230.0,7200.0,270.0,0.0
2021-08-18 19:42:18.702,1230.0,7200.0,270.0,0.0
2021-08-18 19:42:28.699,1230.0,7200.0,270.0,0.0
2021-08-18 19:42:38.691,1230.0,7200.0,270.0,0.0
2021-08-18 19:42:48.689,1500.0,7200.0,0.0,0.0
2021-08-18 19:42:58.679,1500.0,7200.0,0.0,0.0
2021-08-18 19:43:08.772,1500.0,7200.0,0.0,0.0
2021-08-18 19:43:18.773,1500.0,7200.0,0.0,0.0
2021-08-18 19:43:28.766,1500.0,7200.0,0.0,0.0
2021-08-18 19:43:38.758,1500.0,7200.0,0.0,0.0
2021-08-18 19:43:48.756,1500.0,7200.0,0.0,0.0
2021-08-18 19:43:58.754,1500.0,0.0,0.0,0.0
2021-08-18 19:44:08.750,1500.0,0.0,0.0,0.0
2021-08-18 19:44:18.744,1500.0,0.0,0.0,0.0
2021-08-18 19:44:28.739,1500.0,0.0,0.0,0.0
2021-08-18 19:44:38.732,1500.0,0.0,0.0,0.0
2021-08-18 19:44:48.726,1500.0,0.0,0.0,0.0
2021-08-18 19:44:58.991,1500.0,0.0,0.0,0.0
2021-08-18 19:45:08.715,1500.0,0.0,0.0,0.0
2021-08-18 19:45:18.715,1500.0,0.0,0.0,0.0
2021-08-18 19:45:28.703,1500.0,0.0,0.0,0.0
