time,power,soc,current,voltage
2021-08-19 17:31:31,0.0,0.0,0.0,0.0
2021-08-19 17:32:39,0.0,0.0,0.0,0.0
2021-08-19 17:33:47,288.0,0.008,6.0,48.0
2021-08-19 17:34:56,1152.0,0.032,12.0,96.0
2021-08-19 17:36:04,2592.0,0.08,18.0,144.0
2021-08-19 17:37:12,4608.0,0.16,24.0,192.0
2021-08-19 17:38:20,7200.0,0.28,30.0,240.0
2021-08-19 17:39:28,7200.0,0.44,30.0,240.0
2021-08-19 17:40:36,7200.0,0.62,30.0,240.0
2021-08-19 17:41:45,7200.0,0.82,30.0,240.0
2021-08-19 17:42:53,7200.0,1.0,30.0,240.0
2021-08-19 17:44:01,0.0,1.0,0.0,0.0
