
671903030.175, 44302.655439814814814814814815,Simulator v18.12.24 is starting as SGD,UCM Sent:,SGD Sent:
671903030.180,44302.655441898148148148148148,Sent,,/0x8/0x1/0x0/0x2/0x13/0x2/0xD1/0x63,Sent Operational State Query response
671903030.382,44302.655444236111111111111111,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903030.495,44302.655445543981481481481482,Sent,,/0x8/0x1/0x0/0x0/0x7E/0xCD,Sent Message Supported Query
671903030.700,44302.655447916666666666666667,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903030.924,44302.655450509259259259259259,Sent,,/0x8/0x2/0x0/0x0/0x7A/0xD0,Sent Message Supported Query
671903031.127,44302.655452858796296296296296,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903031.352,44302.655455462962962962962963,Sent,,/0x8/0x3/0x0/0x0/0x76/0xD3,Sent Message Supported Query
671903031.558,44302.655457847222222222222222,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903031.795,44302.655460590277777777777778,Sent,,/0x8/0x4/0x0/0x0/0x72/0xD6,Sent Message Supported Query
671903031.998,44302.655462939814814814814815,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903032.221,44302.655465520833333333333333,Sent,,/0x9/0x1/0x0/0x0/0x79/0xD1,Sent Message Supported Query
671903032.428,44302.655467916666666666666667,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903032.665,44302.655470659722222222222222,Sent,,/0x9/0x2/0x0/0x0/0x75/0xD4,Sent Message Supported Query
671903032.869,44302.655473020833333333333333,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903033.095,44302.655475636574074074074074,Sent,,/0x9/0x3/0x0/0x0/0x71/0xD7,Sent Message Supported Query
671903033.298,44302.655477986111111111111111,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903033.533,44302.655480706018518518518518,Sent,,/0x9/0x4/0x0/0x0/0x6D/0xDA,Sent Message Supported Query
671903033.737,44302.655483067129629629629630,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903033.985,44302.6554859375,Sent,,/0x9/0x5/0x0/0x0/0x69/0xDD,Sent Message Supported Query
671903034.188,44302.655488287037037037037037,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903034.429,44302.655491076388888888888889,Sent,,/0x9/0x6/0x0/0x0/0x65/0xE0,Sent Message Supported Query
671903034.633,44302.6554934375,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903034.877,44302.655496261574074074074074,Sent,,/0x9/0x7/0x0/0x0/0x61/0xE3,Sent Message Supported Query
671903035.080,44302.655498611111111111111111,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903035.318,44302.655501365740740740740741,Sent,,/0x9/0x8/0x0/0x0/0x5D/0xE6,Sent Message Supported Query
671903035.522,44302.655503726851851851851852,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903035.771,44302.655506608796296296296296,Sent,,/0x9/0x9/0x0/0x0/0x59/0xE9,Sent Message Supported Query
671903035.974,44302.655508958333333333333333,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903036.215,44302.655511747685185185185185,Sent,,/0x9/0xA/0x0/0x0/0x55/0xEC,Sent Message Supported Query
671903036.419,44302.655514108796296296296296,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903036.656,44302.655516851851851851851852,Sent,,/0x9/0xB/0x0/0x0/0x51/0xEF,Sent Message Supported Query
671903036.862,44302.655519236111111111111111,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903037.104,44302.655522037037037037037037,Sent,,/0x9/0xC/0x0/0x0/0x4D/0xF2,Sent Message Supported Query
671903037.308,44302.655524398148148148148148,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903037.425,44302.655525752314814814814815,Sent,,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,Sent Device Info Query
671903037.534,44302.655527013888888888888889,Sent,,/0x8/0x3/0x0/0x2/0x18/0x0/0xBA/0x75,Sent Max Payload Query
671903037.767,44302.655529710648148148148148,Recv,,,Error - timed out waiting for Link Ack/Nak-1
671903043.243,44302.655593090277777777777778,Recv,/0x8/0x3/0x0/0x0/0x76/0xD3,,Received message type supported query
671903043.288,44302.655593611111111111111111,Sent,,/0x6/0x0,Sent Link Ack
671903043.391,44302.655594803240740740740741,Recv,/0x8/0x3/0x0/0x2/0x18/0x0/0xBA/0x75,,Query Max Payload Size received
671903043.446,44302.655595439814814814814815,Sent,,/0x6/0x0,Sent Link Ack
671903043.559,44302.655596747685185185185185,Sent,,/0x8/0x3/0x0/0x2/0x19/0xD/0x9D/0x84,Sent Max Payload
671903043.614,44302.655597384259259259259259,Recv,/0x6/0x0,,Link Ack Received
671903043.710,44302.655598495370370370370370,Recv,/0x8/0x2/0x0/0x0/0x7A/0xD0,,Received message type supported query
671903043.755,44302.655599016203703703703704,Sent,,/0x6/0x0,Sent Link Ack
671903043.866,44302.655600300925925925925926,Recv,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,,Received a Device Info Request
671903043.907,44302.655600775462962962962963,Sent,,/0x6/0x0,Sent Link Ack
671903044.012,44302.655601990740740740740741,Sent,,/0x8/0x1/0x0/0x2/0x4/0x1/0x1/0x44,Sent Message Not Supported Application Nak
671903044.055,44302.655602488425925925925926,Recv,/0x6/0x0,,Link Ack Received
671903045.877,44302.655623576388888888888889,Recv,/0x8/0x1/0x0/0x2/0x12/0x0/0xD8/0x5F,,Received Operational State Query
671903045.921,44302.655624085648148148148148,Sent,,/0x6/0x0,Sent Link Ack
671903046.041,44302.655625474537037037037037,Sent,,/0x8/0x1/0x0/0x2/0x13/0x2/0xD1/0x63,Replied to Operational State Query
671903046.086,44302.655625995370370370370370,Recv,/0x6/0x0,,Link Ack Received
671903046.192,44302.655627222222222222222222,Recv,/0x8/0x1/0x0/0x2/0x17/0x0/0xC9/0x69,,Load Up command received. Duration = Unknown
671903046.236,44302.655627731481481481481482,Sent,,/0x6/0x0,Sent Link Ack
671903046.341,44302.655628946759259259259259,Sent,,/0x8/0x1/0x0/0x2/0x3/0x17/0xD7/0x58,Sent Application Ack of command type: 0x17
671903046.387,44302.655629479166666666666667,Recv,/0x6/0x0,,Link Ack Received
671903046.494,44302.655630717592592592592593,Recv,/0x8/0x1/0x0/0x2/0x12/0x0/0xD8/0x5F,,Received Operational State Query
671903046.538,44302.655631226851851851851852,Sent,,/0x6/0x0,Sent Link Ack
671903046.643,44302.655632442129629629629630,Sent,,/0x8/0x1/0x0/0x2/0x13/0x1/0xD3/0x62,Replied to Operational State Query
671903046.696,44302.655633055555555555555556,Recv,/0x6/0x0,,Link Ack Received
