
671901984.932, 44302.643333333333333333333333,Simulator v18.12.24 is starting as SGD,UCM Sent:,SGD Sent:
671901984.943,44302.643344247685185185185185,Sent,,/0x8/0x1/0x0/0x2/0x13/0x0/0xD5/0x61,Sent Operational State Query response
671901985.156,44302.643346712962962962962963,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671901985.271,44302.643348043981481481481482,Sent,,/0x8/0x1/0x0/0x0/0x7E/0xCD,Sent Message Supported Query
671901985.474,44302.643350393518518518518518,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671901985.695,44302.643352951388888888888889,Sent,,/0x8/0x2/0x0/0x0/0x7A/0xD0,Sent Message Supported Query
671901985.897,44302.643355289351851851851852,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671901986.102,44302.643357662037037037037037,Sent,,/0x8/0x3/0x0/0x0/0x76/0xD3,Sent Message Supported Query
671901986.309,44302.643360057870370370370370,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671901986.528,44302.643362592592592592592593,Sent,,/0x8/0x4/0x0/0x0/0x72/0xD6,Sent Message Supported Query
671901986.733,44302.643364965277777777777778,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671901986.969,44302.643367696759259259259259,Sent,,/0x9/0x1/0x0/0x0/0x79/0xD1,Sent Message Supported Query
671901987.177,44302.643370104166666666666667,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671901987.393,44302.643372604166666666666667,Sent,,/0x9/0x2/0x0/0x0/0x75/0xD4,Sent Message Supported Query
671901987.597,44302.643374965277777777777778,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671901987.812,44302.643377453703703703703704,Sent,,/0x9/0x3/0x0/0x0/0x71/0xD7,Sent Message Supported Query
671901988.015,44302.643379803240740740740741,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671901988.244,44302.643382453703703703703704,Sent,,/0x9/0x4/0x0/0x0/0x6D/0xDA,Sent Message Supported Query
671901988.448,44302.643384814814814814814815,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671901988.664,44302.643387314814814814814815,Sent,,/0x9/0x5/0x0/0x0/0x69/0xDD,Sent Message Supported Query
671901988.868,44302.643389675925925925925926,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671901989.071,44302.643392025462962962962963,Sent,,/0x9/0x6/0x0/0x0/0x65/0xE0,Sent Message Supported Query
