
680368615.676, 44400.636747685185185185185185,Simulator v18.12.24 is starting as SGD,UCM Sent:,SGD Sent:
680368615.690,44400.636755671296296296296296,Sent,,/0x8/0x1/0x0/0x2/0x13/0x0/0xD5/0x61,Sent Operational State Query response
680368615.927,44400.636758414351851851851852,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
680368616.104,44400.636760462962962962962963,Sent,,/0x8/0x1/0x0/0x0/0x7E/0xCD,Sent Message Supported Query
680368616.150,44400.636760995370370370370370,Recv,/0x6/0x0,,Link Ack Received
680368616.442,44400.636764375,Sent,,/0x8/0x2/0x0/0x0/0x7A/0xD0,Sent Message Supported Query
680368616.479,44400.636764803240740740740741,Recv,/0x6/0x0,,Link Ack Received
680368616.768,44400.636768148148148148148148,Sent,,/0x8/0x3/0x0/0x0/0x76/0xD3,Sent Message Supported Query
680368616.809,44400.636768622685185185185185,Recv,/0x6/0x0,,Link Ack Received
680368617.092,44400.636771898148148148148148,Sent,,/0x8/0x4/0x0/0x0/0x72/0xD6,Sent Message Supported Query
680368617.136,44400.636772407407407407407407,Recv,/0x6/0x0,,Link Ack Received
680368617.420,44400.636775694444444444444444,Sent,,/0x9/0x1/0x0/0x0/0x79/0xD1,Sent Message Supported Query
680368617.464,44400.636776203703703703703704,Recv,/0x6/0x0,,Link Ack Received
680368617.750,44400.636779513888888888888889,Sent,,/0x9/0x2/0x0/0x0/0x75/0xD4,Sent Message Supported Query
680368617.792,44400.63678,Recv,/0x6/0x0,,Link Ack Received
680368618.085,44400.636783391203703703703704,Sent,,/0x9/0x3/0x0/0x0/0x71/0xD7,Sent Message Supported Query
680368618.140,44400.636784027777777777777778,Recv,/0x6/0x0,,Link Ack Received
680368618.424,44400.636787314814814814814815,Sent,,/0x9/0x4/0x0/0x0/0x6D/0xDA,Sent Message Supported Query
680368618.464,44400.636787777777777777777778,Recv,/0x6/0x0,,Link Ack Received
680368618.745,44400.636791030092592592592593,Sent,,/0x9/0x5/0x0/0x0/0x69/0xDD,Sent Message Supported Query
680368618.791,44400.6367915625,Recv,/0x6/0x0,,Link Ack Received
680368619.077,44400.636794872685185185185185,Sent,,/0x9/0x6/0x0/0x0/0x65/0xE0,Sent Message Supported Query
680368619.121,44400.636795381944444444444444,Recv,/0x6/0x0,,Link Ack Received
680368619.408,44400.636798703703703703703704,Sent,,/0x9/0x7/0x0/0x0/0x61/0xE3,Sent Message Supported Query
680368619.451,44400.636799201388888888888889,Recv,/0x6/0x0,,Link Ack Received
680368619.736,44400.6368025,Sent,,/0x9/0x8/0x0/0x0/0x5D/0xE6,Sent Message Supported Query
680368619.776,44400.636802962962962962962963,Recv,/0x6/0x0,,Link Ack Received
680368620.063,44400.636806284722222222222222,Sent,,/0x9/0x9/0x0/0x0/0x59/0xE9,Sent Message Supported Query
680368620.106,44400.636806782407407407407407,Recv,/0x6/0x0,,Link Ack Received
680368620.391,44400.636810081018518518518518,Sent,,/0x9/0xA/0x0/0x0/0x55/0xEC,Sent Message Supported Query
680368620.435,44400.636810590277777777777778,Recv,/0x6/0x0,,Link Ack Received
680368620.717,44400.636813854166666666666667,Sent,,/0x9/0xB/0x0/0x0/0x51/0xEF,Sent Message Supported Query
680368620.758,44400.636814328703703703703704,Recv,/0x6/0x0,,Link Ack Received
680368621.048,44400.636817685185185185185185,Sent,,/0x9/0xC/0x0/0x0/0x4D/0xF2,Sent Message Supported Query
680368621.088,44400.636818148148148148148148,Recv,/0x6/0x0,,Link Ack Received
680368621.233,44400.636819826388888888888889,Sent,,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,Sent Device Info Query
680368621.371,44400.636821423611111111111111,Sent,,/0x8/0x3/0x0/0x2/0x18/0x0/0xBA/0x75,Sent Max Payload Query
680368621.574, 44400.636823773148148148148148, Comment,,, 
680368621.589,44400.636823946759259259259259,Recv,,,Error - timed out waiting for Link Ack/Nak-1

680620423.494, 44403.551192129629629629629630,Simulator v18.12.24 is starting as SGD,UCM Sent:,SGD Sent:
680620423.518,44403.551198125,Sent,,/0x8/0x1/0x0/0x2/0x13/0x0/0xD5/0x61,Sent Operational State Query response
680620423.604,44403.551199120370370370370370,Recv,/0x6/0x0,,Link Ack Received
680620423.680,44403.5512,Recv,/0x8/0x1/0x0/0x2/0x3/0x13/0xDF/0x54,,Recieved an Application Ack with code: 13
680620423.717,44403.551200428240740740740741,Sent,,/0x6/0x0,Sent Link Ack
680620423.893,44403.551202465277777777777778,Sent,,/0x8/0x1/0x0/0x0/0x7E/0xCD,Sent Message Supported Query
680620423.932,44403.551202916666666666666667,Recv,/0x6/0x0,,Link Ack Received
680620424.238,44403.551206458333333333333333,Sent,,/0x8/0x2/0x0/0x0/0x7A/0xD0,Sent Message Supported Query
680620424.276,44403.551206898148148148148148,Recv,/0x6/0x0,,Link Ack Received
680620424.605,44403.551210706018518518518518,Sent,,/0x8/0x3/0x0/0x0/0x76/0xD3,Sent Message Supported Query
680620424.659,44403.551211331018518518518518,Recv,/0x6/0x0,,Link Ack Received
680620424.924,44403.551214398148148148148148,Sent,,/0x8/0x4/0x0/0x0/0x72/0xD6,Sent Message Supported Query
680620424.963,44403.551214849537037037037037,Recv,/0x6/0x0,,Link Ack Received
680620425.221,44403.551217835648148148148148,Sent,,/0x9/0x1/0x0/0x0/0x79/0xD1,Sent Message Supported Query
680620425.264,44403.551218333333333333333333,Recv,/0x6/0x0,,Link Ack Received
680620425.531,44403.551221423611111111111111,Sent,,/0x9/0x2/0x0/0x0/0x75/0xD4,Sent Message Supported Query
680620425.574,44403.551221921296296296296296,Recv,/0x6/0x0,,Link Ack Received
680620425.819,44403.551224756944444444444444,Sent,,/0x9/0x3/0x0/0x0/0x71/0xD7,Sent Message Supported Query
680620425.855,44403.551225173611111111111111,Recv,/0x6/0x0,,Link Ack Received
680620426.098,44403.551227986111111111111111,Sent,,/0x9/0x4/0x0/0x0/0x6D/0xDA,Sent Message Supported Query
680620426.135,44403.551228414351851851851852,Recv,/0x6/0x0,,Link Ack Received
680620426.376,44403.551231203703703703703704,Sent,,/0x9/0x5/0x0/0x0/0x69/0xDD,Sent Message Supported Query
680620426.422,44403.551231736111111111111111,Recv,/0x6/0x0,,Link Ack Received
680620426.667,44403.551234571759259259259259,Sent,,/0x9/0x6/0x0/0x0/0x65/0xE0,Sent Message Supported Query
680620426.714,44403.551235115740740740740741,Recv,/0x6/0x0,,Link Ack Received
680620426.964,44403.551238009259259259259259,Sent,,/0x9/0x7/0x0/0x0/0x61/0xE3,Sent Message Supported Query
680620427.001,44403.5512384375,Recv,/0x6/0x0,,Link Ack Received
680620427.251,44403.551241331018518518518518,Sent,,/0x9/0x8/0x0/0x0/0x5D/0xE6,Sent Message Supported Query
680620427.292,44403.551241805555555555555556,Recv,/0x6/0x0,,Link Ack Received
680620427.538,44403.551244652777777777777778,Sent,,/0x9/0x9/0x0/0x0/0x59/0xE9,Sent Message Supported Query
680620427.575,44403.551245081018518518518518,Recv,/0x6/0x0,,Link Ack Received
680620427.818,44403.551247893518518518518518,Sent,,/0x9/0xA/0x0/0x0/0x55/0xEC,Sent Message Supported Query
680620427.854,44403.551248310185185185185185,Recv,/0x6/0x0,,Link Ack Received
680620428.104,44403.551251203703703703703704,Sent,,/0x9/0xB/0x0/0x0/0x51/0xEF,Sent Message Supported Query
680620428.151,44403.551251747685185185185185,Recv,/0x6/0x0,,Link Ack Received
680620428.401,44403.551254641203703703703704,Sent,,/0x9/0xC/0x0/0x0/0x4D/0xF2,Sent Message Supported Query
680620428.450,44403.551255208333333333333333,Recv,/0x6/0x0,,Link Ack Received
680620428.579,44403.551256701388888888888889,Sent,,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,Sent Device Info Query
680620428.703,44403.551258136574074074074074,Sent,,/0x8/0x3/0x0/0x2/0x18/0x0/0xBA/0x75,Sent Max Payload Query
Error - Expected link Ack/Nak not received

680819268.250, 44405.852638888888888888888889,Simulator v18.12.24 is starting as SGD,UCM Sent:,SGD Sent:
680819268.264,44405.852641944444444444444444,Sent,,/0x8/0x1/0x0/0x2/0x13/0x0/0xD5/0x61,Sent Operational State Query response
680819268.418,44405.852643726851851851851852,Recv,/0x6/0x0/0x8/0x1/0x0/0x2/0x3/0x13/0xDF/0x54,,Link Ack Received
680819271.424,44405.852678518518518518518518,Recv,,,Error - Timed out waiting for Application Ack/Nak - 1
680819271.573,44405.852680243055555555555556,Sent,,/0x8/0x1/0x0/0x0/0x7E/0xCD,Sent Message Supported Query
680819271.608,44405.852680648148148148148148,Recv,/0x6/0x0,,Link Ack Received
680819271.922,44405.852684282407407407407407,Sent,,/0x8/0x2/0x0/0x0/0x7A/0xD0,Sent Message Supported Query
680819271.965,44405.852684780092592592592593,Recv,/0x6/0x0,,Link Ack Received
680819272.262,44405.852688217592592592592593,Sent,,/0x8/0x3/0x0/0x0/0x76/0xD3,Sent Message Supported Query
680819272.307,44405.852688738425925925925926,Recv,/0x6/0x0,,Link Ack Received
680819272.600,44405.852692129629629629629630,Sent,,/0x8/0x4/0x0/0x0/0x72/0xD6,Sent Message Supported Query
680819272.638,44405.852692569444444444444444,Recv,/0x6/0x0,,Link Ack Received
680819272.931,44405.852695960648148148148148,Sent,,/0x9/0x1/0x0/0x0/0x79/0xD1,Sent Message Supported Query
680819272.969,44405.852696400462962962962963,Recv,/0x6/0x0,,Link Ack Received
680819273.271,44405.852699895833333333333333,Sent,,/0x9/0x2/0x0/0x0/0x75/0xD4,Sent Message Supported Query
680819273.312,44405.852700370370370370370370,Recv,/0x6/0x0,,Link Ack Received
680819273.605,44405.852703761574074074074074,Sent,,/0x9/0x3/0x0/0x0/0x71/0xD7,Sent Message Supported Query
680819273.645,44405.852704224537037037037037,Recv,/0x6/0x0,,Link Ack Received
680819273.937,44405.852707604166666666666667,Sent,,/0x9/0x4/0x0/0x0/0x6D/0xDA,Sent Message Supported Query
680819273.975,44405.852708043981481481481482,Recv,/0x6/0x0,,Link Ack Received
680819274.265,44405.852711400462962962962963,Sent,,/0x9/0x5/0x0/0x0/0x69/0xDD,Sent Message Supported Query
680819274.314,44405.852711967592592592592593,Recv,/0x6/0x0,,Link Ack Received
680819274.600,44405.852715277777777777777778,Sent,,/0x9/0x6/0x0/0x0/0x65/0xE0,Sent Message Supported Query
680819274.637,44405.852715706018518518518518,Recv,/0x6/0x0,,Link Ack Received
680819274.929,44405.852719085648148148148148,Sent,,/0x9/0x7/0x0/0x0/0x61/0xE3,Sent Message Supported Query
680819274.969,44405.852719548611111111111111,Recv,/0x6/0x0,,Link Ack Received
680819275.258,44405.852722893518518518518518,Sent,,/0x9/0x8/0x0/0x0/0x5D/0xE6,Sent Message Supported Query
680819275.295,44405.852723321759259259259259,Recv,/0x6/0x0,,Link Ack Received
680819275.602,44405.852726875,Sent,,/0x9/0x9/0x0/0x0/0x59/0xE9,Sent Message Supported Query
680819275.641,44405.852727326388888888888889,Recv,/0x6/0x0,,Link Ack Received
680819275.932,44405.852730694444444444444444,Sent,,/0x9/0xA/0x0/0x0/0x55/0xEC,Sent Message Supported Query
680819275.985,44405.852731307870370370370370,Recv,/0x6/0x0,,Link Ack Received
680819276.272,44405.852734629629629629629630,Sent,,/0x9/0xB/0x0/0x0/0x51/0xEF,Sent Message Supported Query
680819276.311,44405.852735081018518518518518,Recv,/0x6/0x0,,Link Ack Received
680819276.606,44405.852738495370370370370370,Sent,,/0x9/0xC/0x0/0x0/0x4D/0xF2,Sent Message Supported Query
680819276.644,44405.852738935185185185185185,Recv,/0x6/0x0,,Link Ack Received
680819276.816,44405.852740925925925925925926,Sent,,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,Sent Device Info Query
