
671903088.054, 44302.656111111111111111111111,Simulator v18.12.24 is starting as SGD,UCM Sent:,SGD Sent:
671903088.057,44302.656111770833333333333333,Sent,,/0x8/0x1/0x0/0x2/0x13/0x1/0xD3/0x62,Sent Operational State Query response
671903088.264,44302.656114166666666666666667,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903088.382,44302.656115532407407407407407,Sent,,/0x8/0x1/0x0/0x0/0x7E/0xCD,Sent Message Supported Query
671903088.587,44302.656117905092592592592593,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903088.812,44302.656120509259259259259259,Sent,,/0x8/0x2/0x0/0x0/0x7A/0xD0,Sent Message Supported Query
671903089.017,44302.656122881944444444444444,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903089.257,44302.656125659722222222222222,Sent,,/0x8/0x3/0x0/0x0/0x76/0xD3,Sent Message Supported Query
671903089.463,44302.656128043981481481481482,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903089.702,44302.656130810185185185185185,Sent,,/0x8/0x4/0x0/0x0/0x72/0xD6,Sent Message Supported Query
671903089.907,44302.656133182870370370370370,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903090.143,44302.656135914351851851851852,Sent,,/0x9/0x1/0x0/0x0/0x79/0xD1,Sent Message Supported Query
671903090.355,44302.656138368055555555555556,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903090.605,44302.656141261574074074074074,Sent,,/0x9/0x2/0x0/0x0/0x75/0xD4,Sent Message Supported Query
671903090.809,44302.656143622685185185185185,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903091.075,44302.656146701388888888888889,Sent,,/0x9/0x3/0x0/0x0/0x71/0xD7,Sent Message Supported Query
671903091.279,44302.6561490625,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903091.513,44302.656151770833333333333333,Sent,,/0x9/0x4/0x0/0x0/0x6D/0xDA,Sent Message Supported Query
671903091.723,44302.656154201388888888888889,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903091.955,44302.656156886574074074074074,Sent,,/0x9/0x5/0x0/0x0/0x69/0xDD,Sent Message Supported Query
671903092.158,44302.656159236111111111111111,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903092.393,44302.656161956018518518518518,Sent,,/0x9/0x6/0x0/0x0/0x65/0xE0,Sent Message Supported Query
671903092.597,44302.656164317129629629629630,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903092.834,44302.656167060185185185185185,Sent,,/0x9/0x7/0x0/0x0/0x61/0xE3,Sent Message Supported Query
671903093.038,44302.656169421296296296296296,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903093.274,44302.656172152777777777777778,Sent,,/0x9/0x8/0x0/0x0/0x5D/0xE6,Sent Message Supported Query
671903093.479,44302.656174525462962962962963,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903093.708,44302.656177175925925925925926,Sent,,/0x9/0x9/0x0/0x0/0x59/0xE9,Sent Message Supported Query
671903093.915,44302.656179571759259259259259,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903094.130,44302.656182060185185185185185,Sent,,/0x9/0xA/0x0/0x0/0x55/0xEC,Sent Message Supported Query
671903094.334,44302.656184421296296296296296,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903094.558,44302.656187013888888888888889,Sent,,/0x9/0xB/0x0/0x0/0x51/0xEF,Sent Message Supported Query
671903094.763,44302.656189386574074074074074,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903094.999,44302.656192118055555555555556,Sent,,/0x9/0xC/0x0/0x0/0x4D/0xF2,Sent Message Supported Query
671903095.205,44302.656194502314814814814815,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
671903095.321,44302.656195844907407407407407,Sent,,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,Sent Device Info Query
671903095.441,44302.656197233796296296296296,Sent,,/0x8/0x3/0x0/0x2/0x18/0x0/0xBA/0x75,Sent Max Payload Query
671903095.652,44302.656199675925925925925926,Recv,,,Error - timed out waiting for Link Ack/Nak-1
671903101.825,44302.656271122685185185185185,Recv,/0x8/0x3/0x0/0x0/0x76/0xD3,,Received message type supported query
671903101.871,44302.656271655092592592592593,Sent,,/0x6/0x0,Sent Link Ack
671903101.975,44302.656272858796296296296296,Recv,/0x8/0x3/0x0/0x2/0x18/0x0/0xBA/0x75,,Query Max Payload Size received
671903102.019,44302.656273368055555555555556,Sent,,/0x6/0x0,Sent Link Ack
671903102.124,44302.656274583333333333333333,Sent,,/0x8/0x3/0x0/0x2/0x19/0xD/0x9D/0x84,Sent Max Payload
671903102.170,44302.656275115740740740740741,Recv,/0x6/0x0,,Link Ack Received
671903102.276,44302.656276342592592592592593,Recv,/0x8/0x2/0x0/0x0/0x7A/0xD0,,Received message type supported query
671903102.319,44302.656276840277777777777778,Sent,,/0x6/0x0,Sent Link Ack
671903102.441,44302.656278252314814814814815,Recv,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,,Received a Device Info Request
671903102.484,44302.65627875,Sent,,/0x6/0x0,Sent Link Ack
671903102.590,44302.656279976851851851851852,Sent,,/0x8/0x1/0x0/0x2/0x4/0x1/0x1/0x44,Sent Message Not Supported Application Nak
671903102.637,44302.656280520833333333333333,Recv,/0x6/0x0,,Link Ack Received
671903104.547,44302.656302627314814814814815,Recv,/0x8/0x1/0x0/0x2/0x12/0x0/0xD8/0x5F,,Received Operational State Query
