
680368217.113, 44400.632141203703703703703704,Simulator v18.12.24 is starting as UCM,UCM Sent:,SGD Sent:
680368217.140,44400.632142824074074074074074,Sent,/0x8/0x1/0x0/0x2/0xE/0x1/0xE2/0x58,,Sent Comm Status
680368217.352,44400.632145277777777777777778,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
680368217.359,44400.632145358796296296296296,Sent,/0x8/0x1/0x0/0x2/0x12/0x0/0xD8/0x5F,,Sent Op State Query
680368217.564,44400.632147731481481481481482,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
680368217.722,44400.632149560185185185185185,Sent,/0x8/0x1/0x0/0x0/0x7E/0xCD,,Sent Message Supported Query
680368217.928,44400.632151944444444444444444,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
680368218.208,44400.632155185185185185185185,Sent,/0x8/0x2/0x0/0x0/0x7A/0xD0,,Sent Message Supported Query
680368218.413,44400.632157557870370370370370,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
680368218.688,44400.632160740740740740740741,Sent,/0x8/0x3/0x0/0x0/0x76/0xD3,,Sent Message Supported Query
680368218.892,44400.632163101851851851851852,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
680368219.203,44400.632166701388888888888889,Sent,/0x8/0x4/0x0/0x0/0x72/0xD6,,Sent Message Supported Query
680368219.408,44400.632169074074074074074074,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
680368219.681,44400.632172233796296296296296,Sent,/0x9/0x1/0x0/0x0/0x79/0xD1,,Sent Message Supported Query
680368219.886,44400.632174606481481481481482,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
680368220.157,44400.632177743055555555555556,Sent,/0x9/0x2/0x0/0x0/0x75/0xD4,,Sent Message Supported Query
680368220.360,44400.632180092592592592592593,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
680368220.634,44400.632183263888888888888889,Sent,/0x9/0x3/0x0/0x0/0x71/0xD7,,Sent Message Supported Query
680368220.837,44400.632185613425925925925926,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
680368221.109,44400.632188761574074074074074,Sent,/0x9/0x4/0x0/0x0/0x6D/0xDA,,Sent Message Supported Query
680368221.312,44400.632191111111111111111111,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
680368221.593,44400.632194363425925925925926,Sent,/0x9/0x5/0x0/0x0/0x69/0xDD,,Sent Message Supported Query
680368221.796,44400.632196712962962962962963,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
680368222.025,44400.632199363425925925925926,Sent,/0x9/0x6/0x0/0x0/0x65/0xE0,,Sent Message Supported Query
680368222.227,44400.632201701388888888888889,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
680368222.456,44400.632204351851851851851852,Sent,/0x9/0x7/0x0/0x0/0x61/0xE3,,Sent Message Supported Query
680368222.659,44400.632206701388888888888889,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
680368222.888,44400.632209351851851851851852,Sent,/0x9/0x8/0x0/0x0/0x5D/0xE6,,Sent Message Supported Query
680368223.091,44400.632211701388888888888889,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
680368223.318,44400.632214328703703703703704,Sent,/0x9/0x9/0x0/0x0/0x59/0xE9,,Sent Message Supported Query
680368223.522,44400.632216689814814814814815,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
680368223.756,44400.632219398148148148148148,Sent,/0x9/0xA/0x0/0x0/0x55/0xEC,,Sent Message Supported Query
680368223.958,44400.632221736111111111111111,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
680368224.205,44400.632224594907407407407407,Sent,/0x9/0xB/0x0/0x0/0x51/0xEF,,Sent Message Supported Query
680368224.408,44400.632226944444444444444444,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
680368224.636,44400.632229583333333333333333,Sent,/0x9/0xC/0x0/0x0/0x4D/0xF2,,Sent Message Supported Query
680368224.839,44400.632231932870370370370370,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
680368615.706,44400.636755856481481481481482,Recv,,/0x8/0x1/0x0/0x2/0x13/0x0/0xD5/0x61,SGD Operating State is Idle Normal, Op State
680368615.706,44400.636755856481481481481482,Recv,,/0x8/0x1/0x0/0x2/0x13/0x0/0xD5/0x61,Received operating state from SGD
680368615.751,44400.636756377314814814814815,Sent,/0x6/0x0,,Sent Link Ack
680368615.857,44400.636757604166666666666667,Sent,/0x8/0x1/0x0/0x2/0x3/0x13/0xDF/0x54,,Sent Application Ack of command type: 0x13
680368616.061,44400.636759965277777777777778,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
680368616.114,44400.636760578703703703703704,Recv,,/0x8/0x1/0x0/0x0/0x7E/0xCD,Received message type supported query
680368616.150,44400.636760995370370370370370,Sent,/0x6/0x0,,Sent Link Ack
680368616.445,44400.636764409722222222222222,Recv,,/0x8/0x2/0x0/0x0/0x7A/0xD0,Received message type supported query
680368616.479,44400.636764803240740740740741,Sent,/0x6/0x0,,Sent Link Ack
680368616.773,44400.636768206018518518518518,Recv,,/0x8/0x3/0x0/0x0/0x76/0xD3,Received message type supported query
680368616.809,44400.636768622685185185185185,Sent,/0x6/0x0,,Sent Link Ack
680368617.101,44400.636772002314814814814815,Recv,,/0x8/0x4/0x0/0x0/0x72/0xD6,Received message type supported query
680368617.136,44400.636772407407407407407407,Sent,/0x6/0x0,,Sent Link Ack
680368617.429,44400.636775798611111111111111,Recv,,/0x9/0x1/0x0/0x0/0x79/0xD1,Received message type supported query
680368617.464,44400.636776203703703703703704,Sent,/0x6/0x0,,Sent Link Ack
680368617.756,44400.636779583333333333333333,Recv,,/0x9/0x2/0x0/0x0/0x75/0xD4,Received message type supported query
680368617.792,44400.63678,Sent,/0x6/0x0,,Sent Link Ack
680368618.104,44400.636783611111111111111111,Recv,,/0x9/0x3/0x0/0x0/0x71/0xD7,Received message type supported query
