
664893182.709, 44221.522939814814814814814815,Simulator v18.12.24 is starting as SGD,UCM Sent:,SGD Sent:
664893182.720,44221.522948148148148148148148,Sent,,/0x8/0x1/0x0/0x2/0x13/0x0/0xD5/0x61,Sent Operational State Query response
664893182.929,44221.522950567129629629629630,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
664893183.044,44221.522951898148148148148148,Sent,,/0x8/0x1/0x0/0x0/0x7E/0xCD,Sent Message Supported Query
664893183.248,44221.522954259259259259259259,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
664893183.454,44221.522956643518518518518518,Sent,,/0x8/0x2/0x0/0x0/0x7A/0xD0,Sent Message Supported Query
664893183.658,44221.522959004629629629629630,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
664893183.981,44221.522962743055555555555556,Sent,,/0x8/0x3/0x0/0x0/0x76/0xD3,Sent Message Supported Query
664893184.183,44221.522965081018518518518518,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
664893184.571,44221.522969571759259259259259,Sent,,/0x8/0x4/0x0/0x0/0x72/0xD6,Sent Message Supported Query
664893184.775,44221.522971932870370370370370,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
664893185.126,44221.522975995370370370370370,Sent,,/0x9/0x1/0x0/0x0/0x79/0xD1,Sent Message Supported Query
664893185.331,44221.522978368055555555555556,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
664893185.661,44221.5229821875,Sent,,/0x9/0x2/0x0/0x0/0x75/0xD4,Sent Message Supported Query
664893185.864,44221.522984537037037037037037,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
664893186.182,44221.522988217592592592592593,Sent,,/0x9/0x3/0x0/0x0/0x71/0xD7,Sent Message Supported Query
664893186.389,44221.522990613425925925925926,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
664893186.622,44221.522993310185185185185185,Sent,,/0x9/0x4/0x0/0x0/0x6D/0xDA,Sent Message Supported Query
664893186.825,44221.522995659722222222222222,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
664893187.011,44221.5229978125,Sent,,/0x9/0x5/0x0/0x0/0x69/0xDD,Sent Message Supported Query
664893187.214,44221.523000162037037037037037,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
664893187.400,44221.523002314814814814814815,Sent,,/0x9/0x6/0x0/0x0/0x65/0xE0,Sent Message Supported Query
664893187.603,44221.523004664351851851851852,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
664893187.787,44221.523006793981481481481482,Sent,,/0x9/0x7/0x0/0x0/0x61/0xE3,Sent Message Supported Query
664893187.995,44221.523009201388888888888889,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
664893188.239,44221.523012025462962962962963,Sent,,/0x9/0x8/0x0/0x0/0x5D/0xE6,Sent Message Supported Query
664893188.445,44221.523014409722222222222222,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
664893188.635,44221.523016608796296296296296,Sent,,/0x9/0x9/0x0/0x0/0x59/0xE9,Sent Message Supported Query
664893188.838,44221.523018958333333333333333,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
664893189.071,44221.523021655092592592592593,Sent,,/0x9/0xA/0x0/0x0/0x55/0xEC,Sent Message Supported Query
664893189.274,44221.523024004629629629629630,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
