
666444071.353, 44239.473043981481481481481482,Simulator v18.12.24 is starting as UCM,UCM Sent:,SGD Sent:
666444071.367,44239.473048229166666666666667,Sent,/0x8/0x1/0x0/0x2/0xE/0x1/0xE2/0x58,,Sent Comm Status
666444071.552,44239.473050370370370370370370,Recv,,/0x6/0x0,Link Ack Received
666444074.568,44239.473085277777777777777778,Recv,,,Error - Timed out waiting for Application Ack/Nak - 1
666444074.576,44239.473085370370370370370370,Sent,/0x8/0x1/0x0/0x2/0x12/0x0/0xD8/0x5F,,Sent Op State Query
666444074.619,44239.473085868055555555555556,Recv,,/0x6/0x0,Link Ack Received
666444074.725,44239.473087094907407407407407,Recv,,/0x8/0x1/0x0/0x2/0x13/0x0/0xD5/0x61,SGD Operating State is Idle Normal, Op State
666444074.771,44239.473087627314814814814815,Sent,/0x6/0x0,,Sent Link Ack
666444074.917,44239.473089317129629629629630,Sent,/0x8/0x1/0x0/0x0/0x7E/0xCD,,Sent Message Supported Query
666444074.998,44239.473090254629629629629630,Recv,,/0x6/0x0,Link Ack Received
666444075.227,44239.473092905092592592592593,Sent,/0x8/0x2/0x0/0x0/0x7A/0xD0,,Sent Message Supported Query
666444075.281,44239.473093530092592592592593,Recv,,/0x6/0x0,Link Ack Received
666444075.521,44239.473096307870370370370370,Sent,/0x8/0x3/0x0/0x0/0x76/0xD3,,Sent Message Supported Query
666444075.568,44239.473096851851851851851852,Recv,,/0x6/0x0,Link Ack Received
666444075.810,44239.473099652777777777777778,Sent,/0x8/0x4/0x0/0x0/0x72/0xD6,,Sent Message Supported Query
666444075.853,44239.473100150462962962962963,Recv,,/0x6/0x0,Link Ack Received
666444076.106,44239.473103078703703703703704,Sent,/0x9/0x1/0x0/0x0/0x79/0xD1,,Sent Message Supported Query
666444076.154,44239.473103634259259259259259,Recv,,/0x6/0x0,Link Ack Received
666444076.387,44239.473106331018518518518518,Sent,/0x9/0x2/0x0/0x0/0x75/0xD4,,Sent Message Supported Query
666444076.428,44239.473106805555555555555556,Recv,,/0x6/0x0,Link Ack Received
666444076.672,44239.473109629629629629629630,Sent,/0x9/0x3/0x0/0x0/0x71/0xD7,,Sent Message Supported Query
666444076.729,44239.473110289351851851851852,Recv,,/0x6/0x0,Link Ack Received
666444076.976,44239.473113148148148148148148,Sent,/0x9/0x4/0x0/0x0/0x6D/0xDA,,Sent Message Supported Query
666444077.016,44239.473113611111111111111111,Recv,,/0x6/0x0,Link Ack Received
666444077.283,44239.473116701388888888888889,Sent,/0x9/0x5/0x0/0x0/0x69/0xDD,,Sent Message Supported Query
666444077.348,44239.473117453703703703703704,Recv,,/0x6/0x0,Link Ack Received
666444077.584,44239.473120185185185185185185,Sent,/0x9/0x6/0x0/0x0/0x65/0xE0,,Sent Message Supported Query
666444077.636,44239.473120787037037037037037,Recv,,/0x6/0x0,Link Ack Received
666444077.890,44239.473123726851851851851852,Sent,/0x9/0x7/0x0/0x0/0x61/0xE3,,Sent Message Supported Query
666444077.938,44239.473124282407407407407407,Recv,,/0x6/0x0,Link Ack Received
666444078.182,44239.473127106481481481481482,Sent,/0x9/0x8/0x0/0x0/0x5D/0xE6,,Sent Message Supported Query
666444078.240,44239.473127777777777777777778,Recv,,/0x6/0x0,Link Ack Received
666444078.493,44239.473130706018518518518518,Sent,/0x9/0x9/0x0/0x0/0x59/0xE9,,Sent Message Supported Query
666444078.540,44239.47313125,Recv,,/0x6/0x0,Link Ack Received
666444078.784,44239.473134074074074074074074,Sent,/0x9/0xA/0x0/0x0/0x55/0xEC,,Sent Message Supported Query
666444078.841,44239.473134733796296296296296,Recv,,/0x6/0x0,Link Ack Received
666444079.077,44239.473137465277777777777778,Sent,/0x9/0xB/0x0/0x0/0x51/0xEF,,Sent Message Supported Query
666444079.126,44239.473138032407407407407407,Recv,,/0x6/0x0,Link Ack Received
666444079.381,44239.473140983796296296296296,Sent,/0x9/0xC/0x0/0x0/0x4D/0xF2,,Sent Message Supported Query
666444079.427,44239.473141516203703703703704,Recv,,/0x6/0x0,Link Ack Received
666444079.551,44239.473142951388888888888889,Sent,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,,Sent Device Info Query
666444079.683,44239.473144479166666666666667,Sent,/0x8/0x3/0x0/0x2/0x18/0x0/0xBA/0x75,,Sent Max Payload Query
Error - Expected link Ack/Nak not received

666444085.814, 44239.473206018518518518518518,Simulator v18.12.24 is starting as UCM,UCM Sent:,SGD Sent:
666444085.818,44239.473215486111111111111111,Sent,/0x8/0x1/0x0/0x2/0xE/0x1/0xE2/0x58,,Sent Comm Status
666444085.867,44239.473216053240740740740741,Recv,,/0x6/0x0,Link Ack Received
666444086.004,44239.473217638888888888888889,Recv,,/0x8/0x1/0x0/0x2/0x3/0xE/0xE9/0x4F,Recieved an Application Ack with code: E
666444086.049,44239.473218159722222222222222,Sent,/0x6/0x0,,Sent Link Ack
666444086.053,44239.473218206018518518518518,Sent,/0x8/0x1/0x0/0x2/0x12/0x0/0xD8/0x5F,,Sent Op State Query
666444086.258,44239.473220578703703703703704,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
666444086.366,44239.473221828703703703703704,Sent,/0x8/0x1/0x0/0x0/0x7E/0xCD,,Sent Message Supported Query
666444086.410,44239.473222337962962962962963,Recv,,/0x6/0x0,Link Ack Received
666444086.624,44239.473224814814814814814815,Sent,/0x8/0x2/0x0/0x0/0x7A/0xD0,,Sent Message Supported Query
666444086.681,44239.473225474537037037037037,Recv,,/0x6/0x0,Link Ack Received
666444086.909,44239.473228113425925925925926,Sent,/0x8/0x3/0x0/0x0/0x76/0xD3,,Sent Message Supported Query
666444086.966,44239.473228773148148148148148,Recv,,/0x6/0x0,Link Ack Received
666444087.174,44239.473231180555555555555556,Sent,/0x8/0x4/0x0/0x0/0x72/0xD6,,Sent Message Supported Query
666444087.222,44239.473231736111111111111111,Recv,,/0x6/0x0,Link Ack Received
